track_name,lyrics
All The Time,"Those that try anything once Should we care about the only ones? All the time that I need is never quite enough All the time that I have is all that’s necessary You're livin' a lie, you're livin' a lie You're livin' too fast, you gotta pray for the best You never ask why, you never ask why You're livin' a lie, baby, you're flying too high No one talks about the war On my block or by the shore All alone in a room, do you want what I want, too? All the time in the world is all that's necessary You're livin' a lie, you're livin' a lie You're livin' too fast, you gotta pray for the best You never ask why, you never ask why You're livin' a lie, baby, you're flying too high You never ask why, you never ask why You're livin' a lie, baby, you're flying too high Don’t get on the phone, don’t reach for the door You know the answer that you’re looking for You’re livin’ a lie, you’re livin’ a lie You’re livin’ too fast, you gotta pray for the best You never ask why, you never ask why You’re livin’ a lie, baby, you’re flying too high"
One Way Trigger,"(One, two, three) Get dressed in your bed While she's asleep It isn’t right But it isn’t hard Tell me, tell me, won’t you understand Show me, show me, show me a better plan It’s summer lies It's someone else's nothing Here it comes now You asked me to stay You asked me to stay You asked me to stay But there’s a million reasons to leave Find a job Find a friend Find a home Find a dog Settle down Out of town Find a dream Shut it down Please, please don’t point it that way It’s just a trigger that goes once and you’ll be unafraid I wish that I'd been noticed but it never goes that way The silence that you brought has gone, gone, gone Tell me, tell me, won’t you understand? Show me, show me, show me You asked me to stay You asked me to stay You asked me to stay But there’s a million reasons to leave Show me what to say Show me what to be Show me what to see Show me what to be Find a job Find a friend Find a home Find a dog Settle down Out of town Find a dream Shut it down I don’t wanna be in there with you I don't wanna be in there without your loving either I waited for your thoughts Can't wait no longer"
Welcome To Japan,"If we don't watch the sun It will rise If we don't take our time It's not wise Putting posters up For your band (Hey, we're playing a gig tonight if you wanna come by) Now I'll tear them down With my hand I didn't want to notice Didn't know the gun was loaded Didn't really know this What kind of asshole drives a Lotus? Come here and go get with me I wanna see you Wednesday Come on, come on, come over Take it off your shoulder Come on and pull me over We gotta get to work now Sliding it off your shoulder As we're falling over Oh, welcome to Japan! Scuba-dancing! Touchdown! I didn't want to notice Didn't know the gun was loaded Didn't really know this What kind of asshole drives a Lotus? I didn't want to bore you Didn't wanna pick up your shit for ya I've been ready to do this I'll be there Come here and go get with me I wanna see you Wednesday Come on, come on, come over Take it off your shoulder Come on and pull me over We gotta get to work now Sliding it off your shoulder As we're falling over You did it alone You did it for fun You did it for everyone who's on the run You're not just a friend You're me born again We'll be in this race until the very end He lives on the phone He cheats on his clone You'll never believe me 'til you're on your own Comes in once a month And he never leaves He said he is broken Yet he lives free Didn't wanna floor ya I didn't wanna be there for ya Didn't wanna warn ya I'll be there"
Slow Animals,"You don't have to be so loud Everyone can hear you in this whole damn crowd You don't have to try so hard I think they got the message, you were out of your mind It's not so good to see you this upset But the next generation will forget They're always scared of where their daughter's been Cause who knows, she could be alone with men They never wanna see or hear or think about again Is it gone? I hope that nothin's wrong Is it gone? I hope that nothin's wrong Oh, please don't try to lick my face Everyone can see that you're a psycho in this place The next generation will forget Where their daughter's been Or who knows, you could be alone with men They're never gonna let you understand Or show you what is to be a man You don't wanna sit down and think or hear You don't think anyone is in your ear I never wanna see your face Accuse - it's no ones fault Is it gone? I hope that nothin's wrong Is it gone? I hope that nothin's wrong Is it gone? I hope that nothin's wrong Is it gone? I hope that nothin's wrong They're always scared of where their daughter's been Cause who knows, she could be alone with men They never wanna see or hear or think about again Is it gone? I hope that nothin's wrong Is it gone? I hope that nothin's wrong"
Partners In Crime,"I forgot your jacket outdoors Day's been something See if I care One; it's not okayish day, just so But yes, if you insist Okay Oh, alright, I know where tonight Hey there, how goes it? Any time they're closing? Might need a lawyer Let's all be honest Where there's a forest We don't belong Pleased to get who's standing around Life forgives you when you rebound See my friend locked up at the zoo Why aren't we leaving town right now? Oh, alright, I know where tonight I'm on the guestlist We got the door, but Can't seem to find it Pants on a tiger Winter is white and I won't be here buzzing Oh well Oh well Oh well, leaving your tears alone Runs down your face and escapes Hey there, how goes it? Any time they’re closing You’ll need a lawyer Let’s all be honest We’re in a forest We don’t belong I’m on the guestlist No need to welcome Can’t seem to find it March to the war drum Tigers have pants on We have no guns Thank you for staying What are you saying? I won’t forget"
Chances,"I waited by 'ya I waited for 'ya I waited on 'ya But now I don't You didn't see it I didn't see it I didn't see it But now, oh, I do I play your game I play your game, now I play your game I play your game I take my chances alone Get on your horse and be gone I will not wait up for you anymore So you can ask me if something is wrong Will you go? I don't know anymore When the night isn't ready for you It's a fleeting unorthodox view They invited a stewardess, too Now they want you to see it Here's to days he decides he's got time And he claims that it's not a surprise When he finds out the truth's on his side I take my chances alone Get on your horse and be gone I will not wait up for you anymore So you can ask me if something is wrong Will you go? I don't know anymore I don't believe anyone As they crawl out of my way Waiting for the night Leaving night by night You can see me travel We could be in trouble every night We're having a new life"
Happy Ending,"Say it all Just get it all off your chest Shake it up 500,000 times Say no more We don't believe anything Teenage angst Come all ages Baby, show me where to go Some things I don't wanna know Baby, tell me if you're sure Out all the time Say it all I'm not awake anymore Change my mind 2,000 times before Seen a knight Dance on the side of the road Teenage angst Come all ages Baby, show me where to go Some things I don't wanna know Baby, tell me if you're sure Out all the time Feeling dizzy now In the running show All I want to see All I want to know Watch you as you stay Faces at your door Waiting for your piece Pull the trigger please Baby, show me where to go Somethings I don't wanna know Baby, tell me if you're sure Out all the time Cause I don't wanna see everybody get together Leave these dreams alone You don't wanna have to tell me that I wanted you go Everybody needs a shadow, oh"
"Call It Fate, Call It Karma","Close the door Not all the way He don’t understand We don’t understand So don’t you wanna remind me I don’t know a thing And some of us remember And some run out of place Can I waste all your time here on the sidewalk? Can I stand in your light just for a while? I’ve waited around to wait in a room Having a hard time watching you You got it down now, don’t you? I wanted to understand your face So don’t you wanna remind me I don’t know a thing And some of us remember And some run out of place Can I waste all your time here on the sidewalk? Can I stand in your light just for a while? I’ve waited around to wait in a room Having a hard time watchin' you I needed someone I needed someone"
Machu Picchu,"I'm putting your patience to the test I'm putting your body on the line, for less Didn't you know there was a choice? It's never yours but someone else's voice Sellin' your body to the street Sending your girlfriends to the night, for cheap Wearing a jacket made of meat Sealing a letter made with horse's feet And now you've heard that Waves turn to grey Life in the shade A violent crime And that's the USA Platinum's on the rise Sleeping in the sky I'm just tryin' to find A mountain I can climb I'm putting your patience to the test I'm putting your body on the line, for less Didn't you know there was a choice? It's never yours but someone else's voice And now you've seen that Blondes turn to grey Life in the shade A violent crime And that's the USA Porn's on the rise Psychos in disguise I'm just tryin' to find A mountain I can climb Darling, ain't nobody gonna tell us They're gonna be oh so jealous We're gonna be oh so silent They're gonna be stoned in silence (I didn't want to ask you, baby) (I didn't want to have to ask anybody, baby) (Is anyone asking maybe?) (Can anyone even hear me?) Why are you waiting beyond the door? Life turns to dust And rain turns to rust Gossip is a truth And money pays for the lies we trust Your love is a surprise Homeless saints are in disguise I'm just tryin' to find A nice place for you and I"
Under Cover of Darkness,"Slip back out of whack at your best It's a nightmare So I'm joining the army No house phones, but can I still call? Will you wait for me now? We've got the right to live, fight to use it Got everything but you can just choose it I won't just be a puppet on a string Don't go that way I'll wait for you And I'm tired of all your friends Listening at your door I want what's better for you So long, my friend and adversary But I'll wait for you Get dressed, jump out of bed into a vest Are you okay? I've been all around this town Everybody's been singing the same song for ten years I'll wait for you Will you wait for me too? And they sacrifice their lives And they lied about those odds They'll say it a million times, and they'll say it again So long, my adversary and friend Don't go that way I'll wait for you I'm tired of all your friends Banging down your door Get up in the morning yelling, ""No more!"" So long, my friend and adversary But I'll be waiting for you"
